,Type,FullDish,Description
0,"Small Plates, Apps and Sides",Boudin Balls at Crawfish Shack Seafood,"Boudin, a distinctly Acadian-style pork and rice sausage, is a pleasure that is almost nonexistent outside of a small corner of west Louisiana. The Vietnamese-run Crawfish Shack, which has imported the flavors of Louisiana and executes them with its own touch, serves up deep-fried balls of this greasy, soul-satisfying treat. They're not on the menu, so you'll have to ask."
1,"Small Plates, Apps and Sides",Chicken Liver Tart at Staplehouse,"A striking work of art against a white plate begins with a crisp tart shell that supplies the canvas for a silky smooth liver mousse. Burnt honey gelée lends a sweet sheen. Green strawberry and ginger cut through the savory richness while pecan bits add further contrast. Like Van Gogh’s “Starry Night,” a humble sky made brilliant with layers of dynamic texture."
2,"Small Plates, Apps and Sides",Foul Modamas at Ameer's Mediterranean Grill,"Is it a side? Is it a dip? In the Middle East, it’s breakfast. Most Americans probably aren’t ready to start off their day with a bowl of cooked fava beans mixed with olive oil, garlic, onions, parsley, and lemon. Too bad. Nevertheless, it doesn’t mean you can’t order them at lunch or dinner, as an appetizer, a side, or even a meal. You won’t regret it. You may even wish Ameer’s was open for breakfast!"
3,"Small Plates, Apps and Sides",Gobo Stick at Shoya Izakaya,"Delicately fried, crunchy burdock served with a matcha powder, a green tea-based seasoning, that will have you forgetting French fries and ketchup were ever invented. Order as an appetizer. And order again. And again."
4,"Small Plates, Apps and Sides",Jalapeno Cornbread With Honey Butter at Fox Bros. Bar-B-Q,"The Fox Brothers’ jalapeño cornbread — golden brown on the outside with corn kernels and bits of jalapeño nestled inside a crumbly, pillowy center — is good enough on its own. But a smear of homemade honey butter adds another dimension of sweet-meets-savory, melt-in-your-mouth goodness."
5,"Small Plates, Apps and Sides",Lemon Pepper Wet Wings at J.R. Crickets Midtown,"Around the year 2000, J.R. Crickets founder Paul Juliano noticed many of his customers liked to combine the heat of J.R.’s traditional hot sauce with the zest of their lemon pepper seasoning, creating a pungent scent and an even bolder flavor. Branded as “lemon pepper wet” — and not for the faint of heart — these bad boys are best enjoyed fresh out of the kitchen."
6,"Small Plates, Apps and Sides",Pate Du Chef at Cafe Alsace,"Always on the menu, and there’s a reason for it! The Pâté du Chef is absolutely délicieux. A delectable mix of homemade chicken liver with just the right amount of bacon, shallot, walnut, and port for taste and texture, it’s served with cornichons and fresh baguette slices on the side. The perfect way to start a meal — or, make it a meal, we won’t tell!"
7,"Small Plates, Apps and Sides",Que Wraps at Daddy D'Z Bbq Joynt,"Snap, crackle, and pork! These pig-packed wontons fried to a toasty, golden crisp deliver a crunchy bite wrapped around a soft and savory pulled pork center. Take a dunk in the Joynt's signature barbecue sauce to add a sweet and tangy counterpoint to this delicious exercise in barbecue blasphemy."
8,"Small Plates, Apps and Sides",Red Red at Afrodish,"Fried plantains and hearty black-eyed pea stew come together in this traditional Ghanaian comfort dish, served from a fragrant stall inside the Sweet Auburn Curb Market. Legumes are stewed with oil, onions, tomatoes, and spices and paired with sweet plantains fried to warm brown perfection. The tomatoes give the dish a reddish hue, hence its nickname: red red. Eat it piping hot for optimum flavor."
9,"Small Plates, Apps and Sides",Signature Wood-Grilled Octopus at Kyma,"Remarkably tender, streaked with smoky grill marks and served with a salad of pickled red onions and red-wine vinaigrette, these chunks of the creature from Twenty Thousand Leagues Under the Sea transforms the squeamish into octo-addicts."
